questions,Equations,,
A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,s = (600/1000)/(5/60),,
"An aeroplane covers a certain distance at a speed of 240 kmph in 5 hours. To cover the same distance in 1 hours, it must travel at a speed of:",s = 240*5,,
"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is:",x/10 = (x+20)/14,,
"A train can travel 50% faster than a car. Both start from point A at the same time and reach point B 75 kms away from A at the same time. On the way, however, the train lost about 12.5 minutes while stopping at the stations. The speed of the car is:",(75/x) - 75/(3x/2) = 12.5/60 ,,
"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour?",t = 9*60/54,,
"In a flight of 600 km, an aircraft was slowed down due to bad weather. Its average speed for the trip was reduced by 200 km/hr and the time of flight increased by 30 minutes. The duration of the flight is:",(600/x) - 600/x+(1/2) = 200,,
A man complete a journey in 10 hours. He travels first half of the journey at the rate of 21 km/hr and second half at the rate of 24 km/hr. Find the total journey in km.,(x/2)/21 + (x/2)/24 =10,,
"The ratio between the speeds of two trains is 7 : 8. If the second train runs 400 km in 4 hours, then the speed of the first train is:",x= ((400/4)/8)*7,,
A man on tour travels first 160 km at 64 km/hr and the next 160 km at 80 km/hr. The average speed for the first 320 km of the tour is:,320/(160/64+164/80),,
A car travelling with  of its actual speed covers 42 km in 1 hr 40 min 48 sec. Find the actual speed of the car.,x= 42*7*75/(5*126),,
"In covering a distance of 30 km, Abhay takes 2 hours more than Sameer. If Abhay doubles his speed, then he would take 1 hour less than Sameer. Abhay's speed is:",30/x - 30/(2*x) = 3,,
"Robert is travelling on his cycle and has calculated to reach point A at 2 P.M. if he travels at 10 kmph, he will reach there at 12 noon if he travels at 15 kmph. At what speed must he travel to reach A at 1 P.M.?",x/10-x/15 =2,,
"It takes eight hours for a 600 km journey, if 120 km is done by train and the rest by car. It takes 20 minutes more, if 200 km is done by train and the rest by car. The ratio of the speed of the train to that of the cars is:",120/x + 480/y = 8,200/x +400/y =25/3,
A farmer travelled a distance of 61 km in 9 hours. He travelled partly on foot @ 4 km/hr and partly on bicycle @ 9 km/hr. The distance travelled on foot is:,x/4 + (61-x)/9 =9,,
"A man covered a certain distance at some speed. Had he moved 3 kmph faster, he would have taken 40 minutes less. If he had moved 2 kmph slower, he would have taken 40 minutes more. The distance (in km) is:",x/y - x/(y+3) = 40/60,x/(y-2) - x/y =40/60,
A boy walks at a speed of 4 kmph. How much time does he take to walk a distance of 20 km?,s =20/4,,
A cyclist covers a distance of 15 miles in 2 hours. Calculate his speed.,s = 15/2,,
"A car takes 4 hours to cover a distance, if it travels at a speed of 40 mph. What should be its speed to cover the same distance in 1.5 hours?",s =4*40/1.5,,
"If a person walks at 4 mph, he covers a certain distance. If he walks at 9 mph, he covers 7.5 miles more. How much distance did he actually cover?",d/4 = (d+7.5)/9,,
A train is going at 1/3 of its usual speed and it takes an extra 30 minutes to reach its destination. Find its usual time to cover the same distance.,s*t = (1/3)s*(t+30),,
"X and Y are two stations which are 320 miles apart. A train starts at a certain time from X and travels towards Y at 70 mph. After 2 hours, another train starts from Y and travels towards X at 20 mph. At what time do they meet?",70t+20(t-2) = 320,,
"A train leaves from a station and moves at a certain speed. After 2 hours, another train leaves from the same station and moves in the same direction at a speed of 60 mph. If it catches up with the first train in 4 hours, what is the speed of the first train?",6s = 60*4,,
"A man travels at 3 mph in still water. If the current’s velocity is 1 mph, it takes 3 hours to row to a place and come back. How far is the place?",d/2 + d/4 = 3,,
"With the wind, an airplane covers a distance of 2400 kms in 4 hours and against the wind in 6 hours. What is the speed of the plane and that of the wind?",4(a+w) = 2400,6(a-w) = 2400,
A boy travelled by train which moved at the speed of 30 mph. He then boarded a bus which moved at the speed of 40 mph and reached his destination. The entire distance covered was 100 miles and the entire duration of the journey was 3 hours. Find the distance he travelled by bus.,30t + 40(3-t) = 100,,
"A plane covered a distance of 630 miles in 6 hours. For the first part of the trip, the average speed was 100 mph and for the second part of the trip, the average speed was 110 mph. what is the time it flew at each speed?",630-100t = 110(6-t),,
